# x psi_r psi_i psi2 
 0.000000e+00 -3.076052e-02 -1.784732e-01 3.279891e-02
 1.000100e-04 -2.430627e-02 -1.791198e-01 3.267470e-02
 2.000200e-04 -2.019127e-02 -1.773611e-01 3.186465e-02
 3.000300e-04 -1.482861e-02 -1.750989e-01 3.087951e-02
 4.000400e-04 -1.084101e-02 -1.740345e-01 3.040553e-02
 5.000500e-04 -6.571497e-03 -1.731944e-01 3.003950e-02
 6.000600e-04 -2.529373e-03 -1.730486e-01 2.995223e-02
 7.000700e-04  2.616922e-03 -1.737014e-01 3.017902e-02
 8.000800e-04  6.391644e-03 -1.745322e-01 3.050235e-02
 9.000900e-04  1.257464e-02 -1.743524e-01 3.055689e-02
 1.000100e-03  1.934562e-02 -1.734143e-01 3.044676e-02
 1.100110e-03  2.304410e-02 -1.718576e-01 3.006607e-02
 1.200120e-03  2.585901e-02 -1.702400e-01 2.965036e-02
 1.300130e-03  3.032656e-02 -1.700123e-01 2.982389e-02
 1.400140e-03  3.331400e-02 -1.687604e-01 2.958991e-02
 1.500150e-03  4.015046e-02 -1.686385e-01 3.005099e-02
 1.600160e-03  4.632936e-02 -1.677291e-01 3.027945e-02
 1.700170e-03  5.307488e-02 -1.667247e-01 3.061407e-02
 1.800180e-03  5.671341e-02 -1.633206e-01 2.989003e-02
 1.900190e-03  6.180595e-02 -1.604784e-01 2.957330e-02
 2.000200e-03  6.542196e-02 -1.572148e-01 2.899653e-02
 2.100210e-03  6.924176e-02 -1.556874e-01 2.903299e-02
 2.200220e-03  7.391518e-02 -1.542260e-01 2.924911e-02
 2.300230e-03  7.849736e-02 -1.512206e-01 2.902951e-02
 2.400240e-03  8.509652e-02 -1.482253e-01 2.921216e-02
 2.500250e-03  8.744177e-02 -1.435527e-01 2.825344e-02
 2.600260e-03  8.814236e-02 -1.406803e-01 2.756002e-02
 2.700270e-03  9.174157e-02 -1.380398e-01 2.747151e-02
 2.800280e-03  9.570117e-02 -1.364835e-01 2.778646e-02
 2.900290e-03  9.822746e-02 -1.345096e-01 2.774148e-02
 3.000300e-03  1.028364e-01 -1.320232e-01 2.800545e-02
 3.100310e-03  1.064240e-01 -1.289661e-01 2.795833e-02
 3.200320e-03  1.107274e-01 -1.251674e-01 2.792743e-02
 3.300330e-03  1.110637e-01 -1.217024e-01 2.714662e-02
 3.400340e-03  1.164463e-01 -1.184506e-01 2.759028e-02
 3.500350e-03  1.211752e-01 -1.159840e-01 2.813572e-02
 3.600360e-03  1.248832e-01 -1.135771e-01 2.849558e-02
 3.700370e-03  1.285451e-01 -1.093029e-01 2.847096e-02
 3.800380e-03  1.333991e-01 -1.031468e-01 2.843458e-02
 3.900390e-03  1.371346e-01 -9.934604e-02 2.867554e-02
 4.000400e-03  1.381838e-01 -9.574646e-02 2.826214e-02
 4.100410e-03  1.395861e-01 -9.100841e-02 2.776680e-02
 4.200420e-03  1.427571e-01 -8.607548e-02 2.778857e-02
 4.300430e-03  1.442478e-01 -8.064029e-02 2.731028e-02
 4.400440e-03  1.472291e-01 -7.624818e-02 2.749018e-02
 4.500450e-03  1.487476e-01 -7.084748e-02 2.714522e-02
 4.600460e-03  1.487604e-01 -6.439070e-02 2.627582e-02
 4.700470e-03  1.495686e-01 -5.833303e-02 2.577350e-02
 4.800480e-03  1.483226e-01 -5.576972e-02 2.510986e-02
 4.900490e-03  1.506056e-01 -5.533438e-02 2.574393e-02
 5.000500e-03  1.528030e-01 -5.096563e-02 2.594624e-02
 5.100510e-03  1.547411e-01 -4.425949e-02 2.590370e-02
 5.200520e-03  1.536078e-01 -4.102225e-02 2.527817e-02
 5.300530e-03  1.547464e-01 -3.703001e-02 2.531767e-02
 5.400540e-03  1.560635e-01 -3.225542e-02 2.539622e-02
 5.500550e-03  1.571060e-01 -2.879644e-02 2.551154e-02
 5.600560e-03  1.592167e-01 -2.131519e-02 2.580430e-02
 5.700570e-03  1.583711e-01 -1.674746e-02 2.536188e-02
 5.800580e-03  1.582438e-01 -1.135262e-02 2.516997e-02
 5.900590e-03  1.567815e-01 -8.482901e-03 2.465240e-02
 6.000600e-03  1.569173e-01 -5.018666e-03 2.464822e-02
 6.100610e-03  1.580213e-01 -8.431048e-05 2.497073e-02
 6.200620e-03  1.582037e-01  4.413624e-03 2.504789e-02
 6.300630e-03  1.568497e-01  1.132841e-02 2.473015e-02
 6.400640e-03  1.540377e-01  1.591903e-02 2.398102e-02
 6.500650e-03  1.504782e-01  1.825227e-02 2.297684e-02
 6.600660e-03  1.518367e-01  2.210799e-02 2.354314e-02
 6.700670e-03  1.514774e-01  2.489278e-02 2.356506e-02
 6.800680e-03  1.496641e-01  2.974965e-02 2.328437e-02
 6.900690e-03  1.485769e-01  3.301377e-02 2.316501e-02
 7.000700e-03  1.478175e-01  3.617218e-02 2.315845e-02
 7.100710e-03  1.479281e-01  3.965353e-02 2.345513e-02
 7.200720e-03  1.481330e-01  4.316366e-02 2.380649e-02
 7.300730e-03  1.481779e-01  4.812455e-02 2.427267e-02
 7.400740e-03  1.464578e-01  5.325768e-02 2.428627e-02
 7.500750e-03  1.449596e-01  5.916630e-02 2.451394e-02
 7.600760e-03  1.436582e-01  6.245700e-02 2.453857e-02
 7.700770e-03  1.430145e-01  6.812949e-02 2.509476e-02
 7.800780e-03  1.416276e-01  7.364136e-02 2.548144e-02
 7.900790e-03  1.359849e-01  8.134486e-02 2.510888e-02
 8.000800e-03  1.311228e-01  8.559597e-02 2.451986e-02
 8.100810e-03  1.265254e-01  8.816733e-02 2.378216e-02
 8.200820e-03  1.231400e-01  9.168981e-02 2.357047e-02
 8.300830e-03  1.220043e-01  9.432769e-02 2.378276e-02
 8.400840e-03  1.177119e-01  9.593771e-02 2.306014e-02
 8.500850e-03  1.111932e-01  9.850347e-02 2.206686e-02
 8.600860e-03  1.068401e-01  1.004359e-01 2.150218e-02
 8.700870e-03  1.047304e-01  1.014034e-01 2.125111e-02
 8.800880e-03  1.035996e-01  1.032666e-01 2.139687e-02
 8.900890e-03  1.011123e-01  1.057338e-01 2.140333e-02
 9.000900e-03  9.894384e-02  1.094957e-01 2.177920e-02
 9.100910e-03  9.536709e-02  1.132227e-01 2.191427e-02
 9.200920e-03  9.063131e-02  1.143402e-01 2.128772e-02
 9.300930e-03  9.047657e-02  1.185877e-01 2.224904e-02
 9.400940e-03  8.699805e-02  1.217079e-01 2.238147e-02
 9.500950e-03  8.266673e-02  1.241333e-01 2.224286e-02
 9.600960e-03  7.665261e-02  1.253038e-01 2.157667e-02
 9.700970e-03  7.206513e-02  1.268050e-01 2.127288e-02
 9.800980e-03  6.718243e-02  1.290263e-01 2.116126e-02
 9.900990e-03  6.618447e-02  1.291122e-01 2.105036e-02
 1.000100e-02  6.182665e-02  1.312362e-01 2.104549e-02
 1.010101e-02  5.586446e-02  1.314821e-01 2.040838e-02
 1.020102e-02  5.323831e-02  1.308309e-01 1.995105e-02
 1.030103e-02  5.323247e-02  1.317471e-01 2.019100e-02
 1.040104e-02  5.025771e-02  1.353964e-01 2.085803e-02
 1.050105e-02  4.345762e-02  1.378566e-01 2.089300e-02
 1.060106e-02  3.808000e-02  1.398002e-01 2.099419e-02
 1.070107e-02  3.542064e-02  1.405616e-01 2.101218e-02
 1.080108e-02  3.040907e-02  1.427318e-01 2.129707e-02
 1.090109e-02  2.547871e-02  1.442444e-01 2.145562e-02
 1.100110e-02  2.073633e-02  1.439499e-01 2.115158e-02
 1.110111e-02  1.487966e-02  1.420262e-01 2.039286e-02
 1.120112e-02  1.019092e-02  1.419399e-01 2.025078e-02
 1.130113e-02  7.647418e-03  1.415191e-01 2.008614e-02
 1.140114e-02  4.438315e-03  1.416257e-01 2.007754e-02
 1.150115e-02  9.325549e-04  1.410911e-01 1.990756e-02
 1.160116e-02 -1.892523e-03  1.390072e-01 1.932657e-02
 1.170117e-02 -4.803040e-03  1.377958e-01 1.901076e-02
 1.180118e-02 -9.088306e-03  1.376648e-01 1.903419e-02
 1.190119e-02 -1.511101e-02  1.382389e-01 1.933833e-02
