# x psi_r psi_i psi2 
 0.000000e+00  1.439499e-02 -5.255949e-02 2.969716e-03
 1.000100e-04  1.183911e-01 -4.861431e-02 1.637981e-02
 2.000200e-04  1.453279e-02 -9.794722e-02 9.804860e-03
 3.000300e-04  4.296982e-02 -6.198069e-02 5.688011e-03
 4.000400e-04 -9.043428e-03 -5.596324e-02 3.213667e-03
 5.000500e-04  1.547540e-03 -7.635888e-02 5.833073e-03
 6.000600e-04 -2.619098e-02 -9.899253e-02 1.048549e-02
 7.000700e-04 -3.806499e-02 -1.567742e-01 2.602708e-02
 8.000800e-04 -2.789571e-02 -1.241126e-01 1.618210e-02
 9.000900e-04  1.392348e-02 -1.057353e-01 1.137382e-02
 1.000100e-03  1.506002e-02 -1.323804e-02 4.020500e-04
 1.100110e-03  2.266393e-02 -4.799600e-02 2.817270e-03
 1.200120e-03 -9.196198e-03  3.599850e-03 9.752897e-05
 1.300130e-03 -7.809010e-03  2.109659e-02 5.060466e-04
 1.400140e-03 -5.392162e-02  2.785100e-02 3.683220e-03
 1.500150e-03 -3.823723e-03  2.522966e-02 6.511565e-04
 1.600160e-03 -3.104960e-02 -3.653356e-03 9.774245e-04
 1.700170e-03 -2.259931e-02  1.787513e-02 8.302491e-04
 1.800180e-03 -1.443247e-02 -6.667917e-02 4.654408e-03
 1.900190e-03  3.334486e-02 -4.123096e-02 2.811872e-03
 2.000200e-03  3.654551e-02 -5.215528e-02 4.055747e-03
 2.100210e-03  5.114131e-02  1.754049e-02 2.923102e-03
 2.200220e-03  1.488454e-02  6.086425e-02 3.926007e-03
 2.300230e-03 -1.418857e-02  7.847721e-02 6.359987e-03
 2.400240e-03 -1.233247e-02  1.174637e-01 1.394981e-02
 2.500250e-03 -1.066951e-02  7.008069e-02 5.025142e-03
 2.600260e-03  6.922197e-03  9.431621e-02 8.943464e-03
 2.700270e-03  6.701852e-03  4.479904e-02 2.051869e-03
 2.800280e-03  4.189116e-02  1.241015e-01 1.715605e-02
 2.900290e-03  1.700578e-02  1.677693e-01 2.843574e-02
 3.000300e-03  4.660972e-02  1.426927e-01 2.253369e-02
 3.100310e-03  2.098553e-02  7.578804e-02 6.184220e-03
 3.200320e-03 -5.256241e-02  8.210426e-02 9.503918e-03
 3.300330e-03 -3.593921e-02  1.120652e-03 1.292883e-03
 3.400340e-03 -2.066658e-02 -5.461428e-02 3.409827e-03
 3.500350e-03  1.284588e-02 -3.775469e-02 1.590433e-03
 3.600360e-03  2.379602e-02 -1.208542e-01 1.517200e-02
 3.700370e-03  8.109045e-02 -8.513485e-02 1.382360e-02
 3.800380e-03  5.817035e-02 -1.052880e-01 1.446935e-02
 3.900390e-03  7.328663e-02 -1.138544e-01 1.833376e-02
 4.000400e-03  5.187547e-02 -8.371788e-02 9.699749e-03
 4.100410e-03 -3.113478e-02 -1.047867e-01 1.194963e-02
 4.200420e-03  9.945400e-03 -4.431220e-03 1.185467e-04
 4.300430e-03 -8.604255e-02 -5.198875e-02 1.010615e-02
 4.400440e-03 -5.063578e-02 -5.351907e-02 5.428273e-03
 4.500450e-03 -4.638456e-02 -2.731542e-02 2.897660e-03
 4.600460e-03 -6.064125e-02 -9.400716e-02 1.251471e-02
 4.700470e-03 -1.206510e-01 -5.253886e-02 1.731700e-02
 4.800480e-03 -8.872089e-02 -4.285448e-02 9.707902e-03
 4.900490e-03 -7.690071e-02  3.886415e-02 7.424142e-03
 5.000500e-03 -6.506259e-02  4.544543e-02 6.298429e-03
 5.100510e-03 -5.647442e-02  3.921510e-02 4.727184e-03
 5.200520e-03 -5.227232e-02  4.539010e-02 4.792657e-03
 5.300530e-03 -1.594929e-02 -6.728361e-03 2.996508e-04
 5.400540e-03 -3.861269e-02 -1.901652e-02 1.852568e-03
 5.500550e-03 -5.186339e-03 -4.321902e-02 1.894782e-03
 5.600560e-03  4.118276e-02 -5.167343e-02 4.366164e-03
 5.700570e-03  1.199745e-02 -1.071689e-02 2.587907e-04
 5.800580e-03  3.459098e-02  6.277660e-03 1.235945e-03
 5.900590e-03  9.832867e-02  2.499551e-02 1.029330e-02
 6.000600e-03  1.055145e-01  7.954539e-02 1.746079e-02
 6.100610e-03  4.469317e-02  5.086456e-02 4.584683e-03
 6.200620e-03  6.340653e-02  2.920038e-02 4.873050e-03
 6.300630e-03  6.028873e-02  4.859775e-02 5.996472e-03
 6.400640e-03  7.628911e-02  3.871726e-02 7.319055e-03
 6.500650e-03  5.263834e-02  2.836648e-02 3.575452e-03
 6.600660e-03  3.734232e-02  3.819937e-02 2.853641e-03
 6.700670e-03 -3.967506e-02  1.146844e-01 1.472661e-02
 6.800680e-03 -9.088825e-02  7.246206e-02 1.351142e-02
 6.900690e-03 -1.031941e-01  8.786498e-02 1.836928e-02
 7.000700e-03 -1.175644e-01  8.715817e-02 2.141793e-02
 7.100710e-03 -8.127800e-02  4.005605e-02 8.210600e-03
 7.200720e-03 -7.272415e-02  1.645637e-02 5.559615e-03
 7.300730e-03 -3.895107e-02  3.670826e-02 2.864683e-03
 7.400740e-03  2.659719e-02 -4.152161e-02 2.431455e-03
 7.500750e-03  3.144166e-02 -6.725648e-02 5.512012e-03
 7.600760e-03  1.136301e-03 -1.208420e-01 1.460408e-02
 7.700770e-03 -4.883775e-02 -1.365085e-01 2.101970e-02
 7.800780e-03 -5.093859e-02 -1.857785e-01 3.710840e-02
 7.900790e-03 -8.775733e-02 -1.665303e-01 3.543370e-02
 8.000800e-03 -4.922054e-02 -1.081825e-01 1.412611e-02
 8.100810e-03 -2.815408e-02 -1.834763e-01 3.445620e-02
 8.200820e-03 -3.958497e-02 -1.077782e-01 1.318310e-02
 8.300830e-03  4.329393e-03 -9.429928e-02 8.911098e-03
 8.400840e-03  6.762763e-02 -2.633656e-02 5.267110e-03
 8.500850e-03  3.639848e-02  2.562302e-02 1.981388e-03
 8.600860e-03  2.103570e-02  5.860964e-02 3.877591e-03
 8.700870e-03 -1.883419e-02  6.676351e-02 4.812094e-03
 8.800880e-03 -7.514751e-02  2.219296e-02 6.139675e-03
 8.900890e-03 -1.298545e-02 -2.136274e-02 6.249887e-04
 9.000900e-03 -1.153568e-02 -5.553692e-02 3.217421e-03
 9.100910e-03 -2.346702e-02 -3.356395e-02 1.677240e-03
 9.200920e-03  3.672943e-02  7.969342e-02 7.700092e-03
 9.300930e-03  2.992144e-03  6.994718e-02 4.901560e-03
 9.400940e-03  1.838851e-02  8.441322e-02 7.463729e-03
 9.500950e-03  2.927161e-02  1.048429e-01 1.184885e-02
 9.600960e-03 -1.973531e-02  8.904571e-02 8.318621e-03
 9.700970e-03 -5.382881e-02  1.209643e-01 1.752990e-02
 9.800980e-03 -2.883333e-02  1.168290e-01 1.448039e-02
 9.900990e-03 -8.112692e-02  1.511426e-01 2.942566e-02
 1.000100e-02  1.091624e-02  8.081258e-02 6.649837e-03
 1.010101e-02 -1.258568e-02  3.865969e-02 1.652971e-03
 1.020102e-02 -2.766607e-02 -7.897348e-03 8.277795e-04
 1.030103e-02  1.200465e-02 -2.455280e-02 7.469515e-04
 1.040104e-02  5.115898e-02 -3.826053e-02 4.081109e-03
 1.050105e-02  4.633921e-02 -5.277885e-04 2.147601e-03
 1.060106e-02  1.248508e-02 -5.418055e-02 3.091409e-03
 1.070107e-02  6.823676e-02 -6.044484e-02 8.309835e-03
 1.080108e-02  1.906150e-02 -3.975945e-02 1.944155e-03
 1.090109e-02  3.345129e-02 -1.092183e-01 1.304763e-02
 1.100110e-02  6.538201e-03 -2.405006e-02 6.211535e-04
 1.110111e-02 -3.915396e-03 -1.901007e-02 3.767129e-04
 1.120112e-02 -1.095304e-01 -2.614046e-02 1.268023e-02
 1.130113e-02 -6.375480e-02 -3.803279e-02 5.511167e-03
 1.140114e-02 -1.491642e-02 -6.031158e-02 3.859987e-03
 1.150115e-02  1.865716e-03 -9.883328e-02 9.771497e-03
 1.160116e-02 -9.091861e-04 -8.901244e-02 7.924042e-03
 1.170117e-02 -8.719907e-03 -7.514566e-02 5.722908e-03
 1.180118e-02 -9.447426e-02 -1.070988e-01 2.039554e-02
 1.190119e-02 -7.257162e-02 -1.005586e-01 1.537868e-02
 1.200120e-02 -8.196324e-02 -3.680500e-02 8.072581e-03
 1.210121e-02 -3.523559e-02  2.454733e-02 1.844118e-03
 1.220122e-02  2.074621e-02  5.610783e-02 3.578493e-03
 1.230123e-02  4.292970e-02  7.994896e-02 8.234796e-03
 1.240124e-02 -2.495317e-02  7.550530e-02 6.323712e-03
 1.250125e-02  6.594775e-03  4.669787e-02 2.224182e-03
 1.260126e-02 -4.473506e-02  1.361842e-02 2.186687e-03
 1.270127e-02 -9.101104e-02  7.348009e-02 1.368233e-02
 1.280128e-02 -8.142616e-03  4.081610e-02 1.732256e-03
 1.290129e-02  5.793773e-02  4.993615e-02 5.850400e-03
 1.300130e-02  5.417581e-02  2.814749e-02 3.727299e-03
 1.310131e-02  6.687197e-02  1.964301e-03 4.475718e-03
 1.320132e-02  7.427137e-02  4.609419e-03 5.537483e-03
 1.330133e-02  5.615559e-02  4.364439e-02 5.058284e-03
 1.340134e-02  5.044588e-02  8.468579e-02 9.716470e-03
 1.350135e-02  4.805173e-02  1.224627e-01 1.730608e-02
 1.360136e-02  4.038252e-02  1.092567e-01 1.356778e-02
 1.370137e-02 -2.355668e-02  4.868420e-02 2.925068e-03
 1.380138e-02 -6.305794e-03  9.609383e-02 9.273788e-03
 1.390139e-02  5.149657e-02  6.803583e-02 7.280770e-03
 1.400140e-02 -1.053399e-02  7.176378e-02 5.261005e-03
 1.410141e-02  3.278309e-02  4.310907e-02 2.933123e-03
 1.420142e-02  1.911603e-02 -1.292753e-02 5.325436e-04
 1.430143e-02  5.316814e-03 -8.537214e-02 7.316670e-03
 1.440144e-02 -7.150051e-03 -8.225198e-02 6.816512e-03
 1.450145e-02  4.251740e-02 -1.142625e-01 1.486365e-02
 1.460146e-02 -1.234588e-02 -4.425920e-02 2.111298e-03
 1.470147e-02  1.326828e-02 -8.422440e-02 7.269797e-03
 1.480148e-02  1.165070e-02 -1.019462e-01 1.052877e-02
 1.490149e-02 -6.472524e-02 -7.667115e-02 1.006782e-02
