# x psi_r psi_i psi2 
 0.000000e+00 -1.535183e+00 -1.524915e-01 2.380041e+00
 1.000100e-04 -1.516107e+00 -1.984391e-01 2.337958e+00
 2.000200e-04 -1.496635e+00 -2.422753e-01 2.298613e+00
 3.000300e-04 -1.506698e+00 -2.885878e-01 2.353421e+00
 4.000400e-04 -1.479420e+00 -3.567306e-01 2.315941e+00
 5.000500e-04 -1.501483e+00 -3.819976e-01 2.400373e+00
 6.000600e-04 -1.512397e+00 -4.321759e-01 2.474122e+00
 7.000700e-04 -1.502245e+00 -5.053515e-01 2.512121e+00
 8.000800e-04 -1.419472e+00 -5.894395e-01 2.362339e+00
 9.000900e-04 -1.399823e+00 -6.228967e-01 2.347506e+00
 1.000100e-03 -1.407061e+00 -6.517268e-01 2.404568e+00
 1.100110e-03 -1.398561e+00 -7.361055e-01 2.497825e+00
 1.200120e-03 -1.343160e+00 -8.129422e-01 2.464954e+00
 1.300130e-03 -1.329108e+00 -8.658532e-01 2.516230e+00
 1.400140e-03 -1.304105e+00 -9.079220e-01 2.525013e+00
 1.500150e-03 -1.272331e+00 -9.608970e-01 2.542149e+00
 1.600160e-03 -1.259317e+00 -9.935677e-01 2.573057e+00
 1.700170e-03 -1.225975e+00 -1.028792e+00 2.561426e+00
 1.800180e-03 -1.193261e+00 -1.035245e+00 2.495604e+00
 1.900190e-03 -1.198737e+00 -1.115448e+00 2.681194e+00
 2.000200e-03 -1.171835e+00 -1.156912e+00 2.711643e+00
 2.100210e-03 -1.143258e+00 -1.193874e+00 2.732373e+00
 2.200220e-03 -1.107883e+00 -1.233641e+00 2.749274e+00
 2.300230e-03 -1.073787e+00 -1.281620e+00 2.795568e+00
 2.400240e-03 -1.019228e+00 -1.312038e+00 2.760269e+00
 2.500250e-03 -9.793058e-01 -1.326522e+00 2.718700e+00
 2.600260e-03 -9.595538e-01 -1.356434e+00 2.760657e+00
 2.700270e-03 -9.212399e-01 -1.381747e+00 2.757907e+00
 2.800280e-03 -8.731023e-01 -1.428968e+00 2.804258e+00
 2.900290e-03 -8.101687e-01 -1.463167e+00 2.797230e+00
 3.000300e-03 -7.920680e-01 -1.490470e+00 2.848873e+00
 3.100310e-03 -7.230408e-01 -1.500174e+00 2.773310e+00
 3.200320e-03 -6.981560e-01 -1.534743e+00 2.842859e+00
 3.300330e-03 -6.498200e-01 -1.554640e+00 2.839173e+00
 3.400340e-03 -5.798945e-01 -1.542247e+00 2.714803e+00
 3.500350e-03 -5.356014e-01 -1.550119e+00 2.689738e+00
 3.600360e-03 -5.065049e-01 -1.569209e+00 2.718963e+00
 3.700370e-03 -4.575874e-01 -1.588027e+00 2.731215e+00
 3.800380e-03 -4.144191e-01 -1.621344e+00 2.800499e+00
 3.900390e-03 -3.470253e-01 -1.619664e+00 2.743739e+00
 4.000400e-03 -2.739012e-01 -1.624726e+00 2.714757e+00
 4.100410e-03 -2.384645e-01 -1.616116e+00 2.668696e+00
 4.200420e-03 -1.965443e-01 -1.632806e+00 2.704686e+00
 4.300430e-03 -1.519764e-01 -1.656083e+00 2.765709e+00
 4.400440e-03 -1.432454e-01 -1.671541e+00 2.814567e+00
 4.500450e-03 -9.141323e-02 -1.690304e+00 2.865485e+00
 4.600460e-03 -4.607494e-02 -1.681632e+00 2.830010e+00
 4.700470e-03  3.149620e-02 -1.636785e+00 2.680058e+00
 4.800480e-03  4.354627e-02 -1.648615e+00 2.719827e+00
 4.900490e-03  9.533950e-02 -1.622854e+00 2.642744e+00
 5.000500e-03  1.533785e-01 -1.607511e+00 2.607618e+00
 5.100510e-03  2.065129e-01 -1.597669e+00 2.595195e+00
 5.200520e-03  2.436109e-01 -1.595238e+00 2.604131e+00
 5.300530e-03  2.896522e-01 -1.577127e+00 2.571229e+00
 5.400540e-03  3.574074e-01 -1.549701e+00 2.529312e+00
 5.500550e-03  4.074492e-01 -1.509903e+00 2.445821e+00
 5.600560e-03  4.569821e-01 -1.485270e+00 2.414861e+00
 5.700570e-03  4.893864e-01 -1.456915e+00 2.362102e+00
 5.800580e-03  5.234698e-01 -1.416530e+00 2.280578e+00
 5.900590e-03  5.953461e-01 -1.380262e+00 2.259561e+00
 6.000600e-03  6.496449e-01 -1.401960e+00 2.387531e+00
 6.100610e-03  6.782258e-01 -1.387616e+00 2.385468e+00
 6.200620e-03  7.194129e-01 -1.317754e+00 2.254032e+00
 6.300630e-03  7.726332e-01 -1.284462e+00 2.246805e+00
 6.400640e-03  7.954739e-01 -1.272243e+00 2.251382e+00
 6.500650e-03  8.213695e-01 -1.280011e+00 2.313075e+00
 6.600660e-03  8.373933e-01 -1.213330e+00 2.173398e+00
 6.700670e-03  8.960509e-01 -1.163152e+00 2.155830e+00
 6.800680e-03  9.591342e-01 -1.167272e+00 2.282463e+00
 6.900690e-03  9.814106e-01 -1.115600e+00 2.207730e+00
 7.000700e-03  9.938764e-01 -1.077055e+00 2.147837e+00
 7.100710e-03  1.014887e+00 -1.043929e+00 2.119784e+00
 7.200720e-03  1.053711e+00 -9.740872e-01 2.059153e+00
 7.300730e-03  1.101458e+00 -9.205557e-01 2.060633e+00
 7.400740e-03  1.115590e+00 -8.396210e-01 1.949504e+00
 7.500750e-03  1.134791e+00 -7.924149e-01 1.915671e+00
 7.600760e-03  1.141719e+00 -7.342964e-01 1.842714e+00
 7.700770e-03  1.168571e+00 -7.300415e-01 1.898518e+00
 7.800780e-03  1.174866e+00 -6.765484e-01 1.838029e+00
 7.900790e-03  1.187530e+00 -6.225846e-01 1.797839e+00
 8.000800e-03  1.229742e+00 -5.766457e-01 1.844785e+00
 8.100810e-03  1.270769e+00 -5.251829e-01 1.890670e+00
 8.200820e-03  1.284265e+00 -4.827480e-01 1.882382e+00
 8.300830e-03  1.316413e+00 -4.173188e-01 1.907097e+00
 8.400840e-03  1.331250e+00 -3.838766e-01 1.919587e+00
 8.500850e-03  1.343436e+00 -3.168237e-01 1.905197e+00
 8.600860e-03  1.350407e+00 -2.353866e-01 1.879006e+00
 8.700870e-03  1.364711e+00 -2.065300e-01 1.905091e+00
 8.800880e-03  1.363008e+00 -1.949024e-01 1.895778e+00
 8.900890e-03  1.347387e+00 -1.243077e-01 1.830904e+00
 9.000900e-03  1.363811e+00 -6.084137e-02 1.863681e+00
 9.100910e-03  1.382008e+00  2.123250e-03 1.909951e+00
 9.200920e-03  1.375397e+00  8.160137e-02 1.898377e+00
 9.300930e-03  1.356536e+00  1.071299e-01 1.851668e+00
 9.400940e-03  1.355986e+00  1.526232e-01 1.861991e+00
 9.500950e-03  1.324675e+00  2.062049e-01 1.797285e+00
 9.600960e-03  1.318437e+00  2.826460e-01 1.818165e+00
 9.700970e-03  1.305895e+00  2.925193e-01 1.790928e+00
 9.800980e-03  1.298468e+00  3.064038e-01 1.779903e+00
 9.900990e-03  1.306202e+00  3.784571e-01 1.849393e+00
 1.000100e-02  1.312112e+00  4.351865e-01 1.911026e+00
 1.010101e-02  1.283392e+00  5.035032e-01 1.900611e+00
 1.020102e-02  1.271533e+00  5.440704e-01 1.912809e+00
 1.030103e-02  1.238828e+00  6.116997e-01 1.908872e+00
 1.040104e-02  1.189394e+00  6.462770e-01 1.832332e+00
 1.050105e-02  1.201596e+00  6.928381e-01 1.923857e+00
 1.060106e-02  1.223400e+00  7.528716e-01 2.063523e+00
 1.070107e-02  1.184400e+00  8.328127e-01 2.096379e+00
 1.080108e-02  1.158246e+00  8.823164e-01 2.120016e+00
 1.090109e-02  1.104518e+00  9.075269e-01 2.043565e+00
