# x psi_r psi_i psi2 
 0.000000e+00 -6.032470e-02  7.001458e-02 8.541112e-03
 1.001001e-03 -6.723492e-02  3.707874e-02 5.895367e-03
 2.002002e-03 -6.757017e-02  1.862486e-03 4.569197e-03
 3.003003e-03 -6.178597e-02 -3.256821e-02 4.878195e-03
 4.004004e-03 -5.088098e-02 -6.329538e-02 6.595180e-03
 5.005005e-03 -3.627201e-02 -8.779196e-02 9.023087e-03
 6.006006e-03 -1.963513e-02 -1.041253e-01 1.122762e-02
 7.007007e-03 -2.729607e-03 -1.111051e-01 1.235179e-02
 8.008008e-03  1.277805e-02 -1.083648e-01 1.190622e-02
 9.009009e-03  2.547266e-02 -9.637156e-02 9.936335e-03
 1.001001e-02  3.431702e-02 -7.636501e-02 7.009273e-03
 1.101101e-02  3.873537e-02 -5.023334e-02 4.023817e-03
 1.201201e-02  3.864703e-02 -2.033744e-02 1.907204e-03
 1.301301e-02  3.444870e-02  1.069985e-02 1.301199e-03
 1.401401e-02  2.694885e-02  4.022095e-02 2.343965e-03
 1.501502e-02  1.726252e-02  6.575769e-02 4.622069e-03
 1.601602e-02  6.678312e-03  8.523356e-02 7.309360e-03
 1.701702e-02 -3.488108e-03  9.712777e-02 9.445971e-03
 1.801802e-02 -1.203844e-02  1.005885e-01 1.026297e-02
 1.901902e-02 -1.801945e-02  9.548736e-02 9.442536e-03
 2.002002e-02 -2.082106e-02  8.241211e-02 7.225273e-03
 2.102102e-02 -2.023511e-02  6.260031e-02 4.328259e-03
 2.202202e-02 -1.646957e-02  3.782085e-02 1.701663e-03
 2.302302e-02 -1.011715e-02  1.021508e-02 2.067047e-04
 2.402402e-02 -2.082420e-03 -1.788831e-02 3.243282e-04
 2.502503e-02  6.524667e-03 -4.416853e-02 1.993431e-03
 2.602603e-02  1.451719e-02 -6.650170e-02 4.633225e-03
 2.702703e-02  2.076807e-02 -8.312837e-02 7.341638e-03
 2.802803e-02  2.434072e-02 -9.278667e-02 9.201836e-03
 2.902903e-02  2.459971e-02 -9.480136e-02 9.592444e-03
 3.003003e-02  2.128969e-02 -8.912318e-02 8.396192e-03
 3.103103e-02  1.457398e-02 -7.631696e-02 6.036679e-03
 3.203203e-02  5.028470e-03 -5.750134e-02 3.331690e-03
 3.303303e-02 -6.409233e-03 -3.424666e-02 1.213912e-03
 3.403403e-02 -1.853054e-02 -8.440549e-03 4.146238e-04
 3.503504e-02 -2.997790e-02  1.786699e-02 1.217903e-03
 3.603604e-02 -3.938595e-02  4.262599e-02 3.368228e-03
 3.703704e-02 -4.552777e-02  6.394378e-02 6.161584e-03
 3.803804e-02 -4.745129e-02  8.022495e-02 8.687668e-03
 3.903904e-02 -4.459189e-02  9.028433e-02 1.013970e-02
 4.004004e-02 -3.684920e-02  9.342521e-02 1.008613e-02
 4.104104e-02 -2.461958e-02  8.947884e-02 8.612586e-03
 4.204204e-02 -8.779787e-03  7.880349e-02 6.287074e-03
 4.304304e-02  9.377589e-03  6.224532e-02 3.962419e-03
 4.404404e-02  2.825217e-02  4.106524e-02 2.484539e-03
 4.504505e-02  4.607773e-02  1.683875e-02 2.406701e-03
 4.604605e-02  6.108537e-02 -8.663055e-03 3.806471e-03
 4.704705e-02  7.167278e-02 -3.360214e-02 6.266091e-03
 4.804805e-02  7.656376e-02 -5.620256e-02 9.020737e-03
 4.904905e-02  7.494247e-02 -7.487117e-02 1.122207e-02
 5.005005e-02  6.654943e-02 -8.830228e-02 1.222612e-02
 5.105105e-02  5.172910e-02 -9.556021e-02 1.180765e-02
 5.205205e-02  3.142354e-02 -9.613539e-02 1.022945e-02
