# x psi_r psi_i psi2 
 0.000000e+00  3.573655e-01  6.978670e-01 6.147284e-01
 1.001001e-03  4.505193e-01  5.816886e-01 5.413292e-01
 2.002002e-03  5.048267e-01  3.852980e-01 4.033045e-01
 3.003003e-03  5.131112e-01  1.257071e-01 2.790854e-01
 4.004004e-03  4.729135e-01 -1.714928e-01 2.530570e-01
 5.005005e-03  3.867195e-01 -4.746697e-01 3.748633e-01
 6.006006e-03  2.616447e-01 -7.495206e-01 6.302391e-01
 7.007007e-03  1.086338e-01 -9.629062e-01 9.389896e-01
 8.008008e-03 -5.871697e-02 -1.086718e+00 1.184403e+00
 9.009009e-03 -2.255631e-01 -1.101327e+00 1.263801e+00
 1.001001e-02 -3.772771e-01 -9.982082e-01 1.138758e+00
 1.101101e-02 -5.008145e-01 -7.813947e-01 8.613928e-01
 1.201201e-02 -5.858431e-01 -4.675835e-01 5.618465e-01
 1.301301e-02 -6.255374e-01 -8.482009e-02 3.984915e-01
 1.401401e-02 -6.169884e-01  3.301192e-01 4.896534e-01
 1.501502e-02 -5.612260e-01  7.353914e-01 8.557751e-01
 1.601602e-02 -4.628973e-01  1.088416e+00 1.398924e+00
 1.701702e-02 -3.296756e-01  1.350408e+00 1.932289e+00
 1.801802e-02 -1.714932e-01  1.490621e+00 2.251361e+00
 1.901902e-02  3.040686e-04  1.489832e+00 2.219599e+00
 2.002002e-02  1.737960e-01  1.342680e+00 1.832994e+00
 2.102102e-02  3.372540e-01  1.058585e+00 1.234343e+00
 2.202202e-02  4.797977e-01  6.611339e-01 6.673038e-01
 2.302302e-02  5.919281e-01  1.859640e-01 3.849614e-01
 2.402402e-02  6.659490e-01 -3.226276e-01 5.475766e-01
 2.502503e-02  6.962977e-01 -8.160253e-01 1.150728e+00
 2.602603e-02  6.798099e-01 -1.246132e+00 2.014987e+00
 2.702703e-02  6.159351e-01 -1.570206e+00 2.844924e+00
 2.802803e-02  5.069035e-01 -1.755197e+00 3.337668e+00
 2.902903e-02  3.578252e-01 -1.781133e+00 3.300475e+00
 3.003003e-02  1.766839e-01 -1.643217e+00 2.731378e+00
 3.103103e-02 -2.582241e-02 -1.352402e+00 1.829659e+00
 3.203203e-02 -2.366450e-01 -9.344118e-01 9.291262e-01
 3.303303e-02 -4.409912e-01 -4.272768e-01 3.770387e-01
 3.403403e-02 -6.231894e-01  1.223329e-01 4.033304e-01
 3.503504e-02 -7.677915e-01  6.636269e-01 1.029904e+00
 3.603604e-02 -8.608539e-01  1.146601e+00 2.055764e+00
 3.703704e-02 -8.912960e-01  1.526846e+00 3.125668e+00
 3.803804e-02 -8.522015e-01  1.769777e+00 3.858358e+00
 3.903904e-02 -7.419102e-01  1.853878e+00 3.987293e+00
 4.004004e-02 -5.647438e-01  1.772646e+00 3.461210e+00
 4.104104e-02 -3.312317e-01  1.535065e+00 2.466139e+00
 4.204204e-02 -5.774268e-02  1.164565e+00 1.359547e+00
 4.304304e-02  2.345123e-01  6.966130e-01 5.402657e-01
 4.404404e-02  5.210703e-01  1.751652e-01 3.021971e-01
 4.504505e-02  7.762898e-01 -3.516330e-01 7.262717e-01
 4.604605e-02  9.757292e-01 -8.360813e-01 1.651079e+00
 4.704705e-02  1.098599e+00 -1.235426e+00 2.733199e+00
 4.804805e-02  1.130033e+00 -1.515796e+00 3.574612e+00
 4.904905e-02  1.062910e+00 -1.655190e+00 3.869432e+00
 5.005005e-02  8.990101e-01 -1.645260e+00 3.515100e+00
 5.105105e-02  6.493254e-01 -1.491724e+00 2.646865e+00
 5.205205e-02  3.334526e-01 -1.213411e+00 1.583557e+00
 5.305305e-02 -2.192966e-02 -8.400651e-01 7.061902e-01
 5.405405e-02 -3.853752e-01 -4.091573e-01 3.159237e-01
 5.505506e-02 -7.235711e-01  3.795306e-02 5.249955e-01
 5.605606e-02 -1.004542e+00  4.601069e-01 1.220803e+00
 5.705706e-02 -1.200830e+00  8.202701e-01 2.114837e+00
 5.805806e-02 -1.292321e+00  1.088908e+00 2.855815e+00
 5.905906e-02 -1.268400e+00  1.246492e+00 3.162580e+00
 6.006006e-02 -1.129205e+00  1.284916e+00 2.926113e+00
 6.106106e-02 -8.858244e-01  1.207724e+00 2.243282e+00
 6.206206e-02 -5.593933e-01  1.029169e+00 1.372110e+00
 6.306306e-02 -1.791742e-01  7.722499e-01 6.284733e-01
 6.406406e-02  2.201991e-01  4.659715e-01 2.656171e-01
 6.506507e-02  6.020342e-01  1.421422e-01 3.826495e-01
 6.606607e-02  9.311155e-01 -1.679354e-01 8.951783e-01
 6.706707e-02  1.177101e+00 -4.365346e-01 1.576129e+00
 6.806807e-02  1.317436e+00 -6.420251e-01 2.147835e+00
 6.906907e-02  1.339493e+00 -7.706103e-01 2.388082e+00
 7.007007e-02  1.241721e+00 -8.171411e-01 2.209589e+00
 7.107107e-02  1.033708e+00 -7.849739e-01 1.684736e+00
 7.207207e-02  7.351605e-01 -6.849468e-01 1.009613e+00
 7.307307e-02  3.739159e-01 -5.336397e-01 4.245845e-01
 7.407407e-02 -1.679573e-02 -3.511568e-01 1.235932e-01
 7.507508e-02 -4.015508e-01 -1.587058e-01 1.864306e-01
 7.607608e-02 -7.460736e-01  2.374211e-02 5.571896e-01
 7.707708e-02 -1.020388e+00  1.794564e-01 1.073397e+00
 7.807808e-02 -1.201481e+00  2.964144e-01 1.531419e+00
 7.907908e-02 -1.275237e+00  3.681076e-01 1.761732e+00
 8.008008e-02 -1.237480e+00  3.936466e-01 1.686314e+00
 8.108108e-02 -1.094069e+00  3.772126e-01 1.339277e+00
 8.208208e-02 -8.600610e-01  3.269776e-01 8.466192e-01
 8.308308e-02 -5.580610e-01  2.536698e-01 3.757805e-01
 8.408408e-02 -2.159593e-01  1.689919e-01 7.519669e-02
 8.508509e-02  1.357251e-01  8.410246e-02 2.549454e-02
 8.608609e-02  4.666240e-01  8.343666e-03 2.178075e-01
 8.708709e-02  7.491694e-01 -5.164411e-02 5.639219e-01
 8.808809e-02  9.608838e-01 -9.234718e-02 9.318257e-01
 8.908909e-02  1.086125e+00 -1.133323e-01 1.192511e+00
 9.009009e-02  1.117162e+00 -1.167868e-01 1.261691e+00
 9.109109e-02  1.054529e+00 -1.067529e-01 1.123428e+00
 9.209209e-02  9.066512e-01 -8.820036e-02 8.297957e-01
 9.309309e-02  6.888293e-01 -6.609094e-02 4.788538e-01
 9.409409e-02  4.216866e-01 -4.458018e-02 1.798070e-01
 9.509510e-02  1.292392e-01 -2.646738e-02 1.740329e-02
 9.609610e-02 -1.632356e-01 -1.296045e-02 2.681383e-02
 9.709710e-02 -4.313506e-01 -3.765999e-03 1.860775e-01
 9.809810e-02 -6.536066e-01  2.536714e-03 4.272080e-01
 9.909910e-02 -8.130822e-01  7.926751e-03 6.611654e-01
 1.001001e-01 -8.986939e-01  1.429352e-02 8.078550e-01
 1.011011e-01 -9.059394e-01  2.283862e-02 8.212478e-01
 1.021021e-01 -8.370805e-01  3.364327e-02 7.018357e-01
 1.031031e-01 -7.007653e-01  4.548916e-02 4.931412e-01
 1.041041e-01 -5.111302e-01  5.597417e-02 2.643871e-01
 1.051051e-01 -2.864642e-01  6.191442e-02 8.589515e-02
 1.061061e-01 -4.754786e-02  5.997009e-02 5.857210e-03
 1.071071e-01  1.841944e-01  4.739240e-02 3.617360e-02
 1.081081e-01  3.885723e-01  2.275905e-02 1.515064e-01
 1.091091e-01  5.483824e-01 -1.343838e-02 3.009038e-01
 1.101101e-01  6.508836e-01 -5.847850e-02 4.270692e-01
 1.111111e-01  6.888689e-01 -1.074502e-01 4.860859e-01
 1.121121e-01  6.612346e-01 -1.536831e-01 4.608496e-01
 1.131131e-01  5.729955e-01 -1.895391e-01 3.642489e-01
 1.141141e-01  4.347387e-01 -2.074775e-01 2.320446e-01
 1.151151e-01  2.615618e-01 -2.012523e-01 1.089170e-01
 1.161161e-01  7.158992e-02 -1.670690e-01 3.303715e-02
 1.171171e-01 -1.157929e-01 -1.045177e-01 2.433194e-02
 1.181181e-01 -2.818322e-01 -1.711849e-02 7.972246e-02
