# x psi_r psi_i psi2 
 0.000000e+00  4.951033e-03  3.634796e-02 1.345687e-03
 1.001001e-03 -1.178996e-02  3.330293e-02 1.248088e-03
 2.002002e-03 -2.659413e-02  2.681926e-02 1.426520e-03
 3.003003e-03 -3.801767e-02  1.788420e-02 1.765188e-03
 4.004004e-03 -4.502724e-02  7.698169e-03 2.086714e-03
 5.005005e-03 -4.708776e-02 -2.474702e-03 2.223381e-03
 6.006006e-03 -4.419509e-02 -1.145569e-02 2.084439e-03
 7.007007e-03 -3.685267e-02 -1.828318e-02 1.692394e-03
 8.008008e-03 -2.599720e-02 -2.231262e-02 1.173708e-03
 9.009009e-03 -1.288353e-02 -2.327469e-02 7.076965e-04
 1.001001e-02  1.057719e-03 -2.128666e-02 4.542405e-04
 1.101101e-02  1.437357e-02 -1.681757e-02 4.894300e-04
 1.201201e-02  2.573709e-02 -1.061328e-02 7.750394e-04
 1.301301e-02  3.407579e-02 -3.591619e-03 1.174059e-03
 1.401401e-02  3.866790e-02  3.278645e-03 1.505956e-03
 1.501502e-02  3.919840e-02  9.100230e-03 1.619329e-03
 1.601602e-02  3.577137e-02  1.315636e-02 1.452681e-03
 1.701702e-02  2.887958e-02  1.499383e-02 1.058845e-03
 1.801802e-02  1.933688e-02  1.447091e-02 5.833221e-04
 1.901902e-02  8.182281e-03  1.176521e-02 2.053698e-04
 2.002002e-02 -3.433042e-03  7.341747e-03 6.568703e-05
 2.102102e-02 -1.436356e-02  1.885900e-03 2.098686e-04
 2.202202e-02 -2.358001e-02 -3.789796e-03 5.703796e-04
 2.302302e-02 -3.026232e-02 -8.853143e-03 9.941860e-04
 2.402402e-02 -3.386692e-02 -1.256076e-02 1.304741e-03
 2.502503e-02 -3.416357e-02 -1.435426e-02 1.373195e-03
 2.602603e-02 -3.124022e-02 -1.393261e-02 1.170069e-03
 2.702703e-02 -2.547763e-02 -1.129191e-02 7.766171e-04
 2.802803e-02 -1.749857e-02 -6.728108e-03 3.514674e-04
 2.902903e-02 -8.098047e-03 -8.023686e-04 6.622215e-05
 3.003003e-02  1.837219e-03  5.726668e-03 3.617010e-05
 3.103103e-02  1.141195e-02  1.199559e-02 2.741267e-04
 3.203203e-02  1.980028e-02  1.714280e-02 6.859266e-04
 3.303303e-02  2.631210e-02  2.041637e-02 1.109155e-03
 3.403403e-02  3.044299e-02  2.127027e-02 1.379200e-03
 3.503504e-02  3.190502e-02  1.943756e-02 1.395749e-03
 3.603604e-02  3.063782e-02  1.497170e-02 1.162828e-03
 3.703704e-02  2.680096e-02  8.250683e-03 7.863651e-04
 3.803804e-02  2.075011e-02 -5.677609e-05 4.305703e-04
 3.903904e-02  1.300077e-02 -9.059776e-03 2.510996e-04
 4.004004e-02  4.183298e-03 -1.774110e-02 3.322465e-04
 4.104104e-02 -5.006622e-03 -2.506992e-02 6.535674e-04
 4.204204e-02 -1.385840e-02 -3.011904e-02 1.099212e-03
 4.304304e-02 -2.169487e-02 -3.217343e-02 1.505797e-03
 4.404404e-02 -2.791600e-02 -3.081814e-02 1.729061e-03
 4.504505e-02 -3.203644e-02 -2.599535e-02 1.702092e-03
 4.604605e-02 -3.371560e-02 -1.802399e-02 1.461606e-03
 4.704705e-02 -3.277943e-02 -7.578935e-03 1.131931e-03
 4.804805e-02 -2.923351e-02  4.368368e-03 8.736807e-04
 4.904905e-02 -2.326665e-02  1.664254e-02 8.183112e-04
 5.005005e-02 -1.524479e-02  2.798074e-02 1.015325e-03
 5.105105e-02 -5.694625e-03  3.716122e-02 1.413385e-03
 5.205205e-02  4.723195e-03  4.313102e-02 1.882594e-03
 5.305305e-02  1.525107e-02  4.511942e-02 2.268358e-03
 5.405405e-02  2.508087e-02  4.272556e-02 2.454524e-03
 5.505506e-02  3.340805e-02  3.597089e-02 2.410003e-03
 5.605606e-02  3.949090e-02  2.531069e-02 2.200162e-03
 5.705706e-02  4.271123e-02  1.160291e-02 1.958877e-03
 5.805806e-02  4.263206e-02 -3.963262e-03 1.833200e-03
 5.905906e-02  3.904719e-02 -1.997266e-02 1.923590e-03
 6.006006e-02  3.201743e-02 -3.491361e-02 2.244076e-03
 6.106106e-02  2.188870e-02 -4.731944e-02 2.718245e-03
 6.206206e-02  9.288080e-03 -5.590886e-02 3.212069e-03
 6.306306e-02 -4.904466e-03 -5.971183e-02 3.589557e-03
 6.406406e-02 -1.960900e-02 -5.816919e-02 3.768168e-03
 6.506507e-02 -3.362102e-02 -5.119623e-02 3.751427e-03
 6.606607e-02 -4.570488e-02 -3.920411e-02 3.625898e-03
 6.706707e-02 -5.469847e-02 -2.307649e-02 3.524448e-03
 6.806807e-02 -5.962053e-02 -4.102973e-03 3.571442e-03
 6.906907e-02 -5.977080e-02  1.612537e-02 3.832576e-03
 7.007007e-02 -5.481326e-02  3.584953e-02 4.289682e-03
 7.107107e-02 -4.483296e-02  5.329386e-02 4.850229e-03
 7.207207e-02 -3.035920e-02  6.682215e-02 5.386881e-03
 7.307307e-02 -1.235012e-02  7.508509e-02 5.790297e-03
 7.407407e-02  7.862695e-03  7.714613e-02 6.013348e-03
 7.507508e-02  2.866750e-02  7.257481e-02 6.088928e-03
 7.607608e-02  4.829730e-02  6.149891e-02 6.114745e-03
 7.707708e-02  6.497711e-02  4.461045e-02 6.212117e-03
 7.807808e-02  7.708126e-02  2.312397e-02 6.476238e-03
 7.907908e-02  8.328687e-02 -1.310182e-03 6.938419e-03
 8.008008e-02  8.270916e-02 -2.673147e-02 7.555376e-03
 8.108108e-02  7.500503e-02 -5.102400e-02 8.229203e-03
 8.208208e-02  6.043381e-02 -7.208873e-02 8.849030e-03
 8.308308e-02  3.986732e-02 -8.801908e-02 9.336761e-03
 8.408408e-02  1.474565e-02 -9.726603e-02 9.678115e-03
 8.508509e-02 -1.301973e-02 -9.877871e-02 9.926747e-03
 8.608609e-02 -4.118964e-02 -9.210856e-02 1.018057e-02
 8.708709e-02 -6.737650e-02 -7.746758e-02 1.054082e-02
 8.808809e-02 -8.924503e-02 -5.573445e-02 1.107100e-02
 8.908909e-02 -1.047173e-01 -2.840669e-02 1.177265e-02
 9.009009e-02 -1.121640e-01  2.499338e-03 1.258701e-02
 9.109109e-02 -1.105649e-01  3.459386e-02 1.342133e-02
 9.209209e-02 -9.962261e-02  6.529469e-02 1.418806e-02
 9.309309e-02 -7.981856e-02  9.203021e-02 1.484056e-02
 9.409409e-02 -5.240402e-02  1.124489e-01 1.539093e-02
 9.509510e-02 -1.932484e-02  1.246186e-01 1.590325e-02
 9.609610e-02  1.691594e-02  1.271996e-01 1.646588e-02
 9.709710e-02  5.344754e-02  1.195755e-01 1.715494e-02
 9.809810e-02  8.725856e-02  1.019316e-01 1.800412e-02
 9.909910e-02  1.154436e-01  7.527057e-02 1.899289e-02
 1.001001e-01  1.354491e-01  4.136299e-02 2.005735e-02
 1.011011e-01  1.452972e-01  2.634556e-03 2.111822e-02
 1.021021e-01  1.437695e-01 -3.800438e-02 2.211400e-02
 1.031031e-01  1.305327e-01 -7.737429e-02 2.302557e-02
 1.041041e-01  1.061958e-01 -1.122717e-01 2.388250e-02
 1.051051e-01  7.229120e-02 -1.397256e-01 2.474925e-02
 1.061061e-01  3.117968e-02 -1.572438e-01 2.569777e-02
 1.071071e-01 -1.411407e-02 -1.630306e-01 2.677820e-02
 1.081081e-01 -6.012485e-02 -1.561561e-01 2.799973e-02
 1.091091e-01 -1.032118e-01 -1.366613e-01 2.932898e-02
 1.101101e-01 -1.398444e-01 -1.055902e-01 3.070576e-02
 1.111111e-01 -1.668877e-01 -6.494229e-02 3.206901e-02
 1.121121e-01 -1.818626e-01 -1.754714e-02 3.338192e-02
 1.131131e-01 -1.831620e-01  3.313118e-02 3.464600e-02
 1.141141e-01 -1.702024e-01  8.324650e-02 3.589885e-02
 1.151151e-01 -1.434996e-01  1.288614e-01 3.719739e-02
 1.161161e-01 -1.046591e-01  1.662542e-01 3.859398e-02
 1.171171e-01 -5.628168e-02  1.922185e-01 4.011559e-02
 1.181181e-01 -1.788664e-03  2.043308e-01 4.175426e-02
 1.191191e-01  5.482100e-02  2.011641e-01 4.347232e-02
 1.201201e-01  1.092642e-01  1.824299e-01 4.521934e-02
 1.211211e-01  1.572961e-01  1.490346e-01 4.695338e-02
 1.221221e-01  1.950376e-01  1.030439e-01 4.865773e-02
 1.231231e-01  2.192826e-01  4.755637e-02 5.034646e-02
 1.241241e-01  2.277601e-01 -1.350682e-02 5.205708e-02
 1.251251e-01  2.193322e-01 -7.568072e-02 5.383417e-02
 1.261261e-01  1.941095e-01 -1.342847e-01 5.571090e-02
 1.271271e-01  1.534748e-01 -1.847747e-01 5.769621e-02
 1.281281e-01  1.000102e-01 -2.230931e-01 5.977256e-02
 1.291291e-01  3.733275e-02 -2.459894e-01 6.190450e-02
 1.301301e-01 -3.015241e-02 -2.512863e-01 6.405399e-02
 1.311311e-01 -9.756286e-02 -2.380703e-01 6.619597e-02
 1.321321e-01 -1.598929e-01 -2.067894e-01 6.832757e-02
 1.331331e-01 -2.123837e-01 -1.592515e-01 7.046788e-02
 1.341341e-01 -2.508837e-01 -9.851937e-02 7.264872e-02
 1.351351e-01 -2.721700e-01 -2.871009e-02 7.490076e-02
 1.361361e-01 -2.742078e-01  4.528846e-02 7.724095e-02
 1.371371e-01 -2.563272e-01  1.181633e-01 7.966620e-02
 1.381381e-01 -2.193021e-01  1.845596e-01 8.215565e-02
 1.391391e-01 -1.653235e-01  2.394744e-01 8.467984e-02
 1.401401e-01 -9.786928e-02  2.786297e-01 8.721289e-02
 1.411411e-01 -2.147599e-02  2.987995e-01 8.974236e-02
 1.421421e-01  5.857046e-02  2.980645e-01 9.227295e-02
 1.431431e-01  1.366041e-01  2.759754e-01 9.482310e-02
 1.441441e-01  2.069823e-01  2.336116e-01 9.741606e-02
 1.451451e-01  2.644935e-01  1.735305e-01 1.000697e-01
 1.461461e-01  3.047410e-01  9.960816e-02 1.027889e-01
 1.471471e-01  3.244725e-01  1.678415e-02 1.055641e-01
 1.481481e-01  3.218329e-01 -6.927470e-02 1.083754e-01
 1.491491e-01  2.965199e-01 -1.525663e-01 1.112005e-01
 1.501502e-01  2.498307e-01 -2.271743e-01 1.140235e-01
 1.511512e-01  1.845944e-01 -2.876887e-01 1.168399e-01
 1.521522e-01  1.049954e-01 -3.295949e-01 1.196568e-01
 1.531532e-01  1.629783e-02 -3.496041e-01 1.224887e-01
 1.541542e-01 -7.550987e-02 -3.459017e-01 1.253497e-01
 1.551552e-01 -1.641245e-01 -3.182936e-01 1.282477e-01
 1.561562e-01 -2.433651e-01 -2.682412e-01 1.311799e-01
 1.571572e-01 -3.076047e-01 -1.987807e-01 1.341344e-01
 1.581582e-01 -3.521685e-01 -1.143320e-01 1.370944e-01
 1.591592e-01 -3.736682e-01 -2.040960e-02 1.400445e-01
 1.601602e-01 -3.702507e-01  7.674515e-02 1.429754e-01
 1.611612e-01 -3.417417e-01  1.705848e-01 1.458866e-01
 1.621622e-01 -2.896752e-01  2.547012e-01 1.487844e-01
 1.631632e-01 -2.172048e-01  3.232646e-01 1.516780e-01
 1.641642e-01 -1.289046e-01  3.714264e-01 1.545740e-01
 1.651652e-01 -3.047017e-02  3.956573e-01 1.574731e-01
 1.661662e-01  7.165703e-02  3.939978e-01 1.603690e-01
 1.671672e-01  1.707189e-01  3.662035e-01 1.632499e-01
 1.681682e-01  2.600928e-01  3.137749e-01 1.661030e-01
 1.691692e-01  3.337369e-01  2.398697e-01 1.689178e-01
 1.701702e-01  3.865978e-01  1.491027e-01 1.716895e-01
 1.711712e-01  4.149532e-01  4.724766e-02 1.744185e-01
 1.721722e-01  4.166671e-01 -5.914004e-02 1.771090e-01
 1.731732e-01  3.913391e-01 -1.631533e-01 1.797653e-01
 1.741742e-01  3.403392e-01 -2.579879e-01 1.823886e-01
 1.751752e-01  2.667256e-01 -3.373918e-01 1.849758e-01
 1.761762e-01  1.750501e-01 -3.960767e-01 1.875193e-01
 1.771772e-01  7.106582e-02 -4.300686e-01 1.900094e-01
 1.781782e-01 -3.864462e-02 -4.369705e-01 1.924366e-01
 1.791792e-01 -1.470946e-01 -4.161222e-01 1.947945e-01
 1.801802e-01 -2.473455e-01 -3.686468e-01 1.970802e-01
 1.811812e-01 -3.329551e-01 -2.973805e-01 1.992942e-01
 1.821822e-01 -3.983927e-01 -2.066917e-01 2.014382e-01
 1.831832e-01 -4.393950e-01 -1.022014e-01 2.035130e-01
 1.841842e-01 -4.532388e-01  9.577309e-03 2.055172e-01
 1.851852e-01 -4.389147e-01  1.216546e-01 2.074460e-01
 1.861862e-01 -3.971893e-01  2.270097e-01 2.092927e-01
 1.871872e-01 -3.305544e-01  3.190358e-01 2.110501e-01
 1.881882e-01 -2.430667e-01  3.919572e-01 2.127119e-01
 1.891892e-01 -1.400880e-01  4.411911e-01 2.142742e-01
 1.901902e-01 -2.794467e-02  4.636319e-01 2.157355e-01
 1.911912e-01  8.647144e-02  4.578411e-01 2.170958e-01
 1.921922e-01  1.961359e-01  4.241299e-01 2.183554e-01
 1.931932e-01  2.943296e-01  3.645323e-01 2.195137e-01
 1.941942e-01  3.750539e-01  2.826707e-01 2.205681e-01
 1.951952e-01  4.333983e-01  1.835228e-01 2.215147e-01
 1.961962e-01  4.658368e-01  7.310664e-02 2.223485e-01
 1.971972e-01  4.704356e-01 -4.189568e-02 2.230649e-01
 1.981982e-01  4.469609e-01 -1.545525e-01 2.236605e-01
 1.991992e-01  3.968802e-01 -2.581077e-01 2.241335e-01
 2.002002e-01  3.232596e-01 -3.463910e-01 2.244835e-01
 2.012012e-01  2.305634e-01 -4.141874e-01 2.247107e-01
 2.022022e-01  1.243715e-01 -4.575444e-01 2.248152e-01
 2.032032e-01  1.103171e-02 -4.739985e-01 2.247963e-01
 2.042042e-01 -1.027301e-01 -4.627081e-01 2.246523e-01
 2.052052e-01 -2.102177e-01 -4.244873e-01 2.243809e-01
 2.062062e-01 -3.051646e-01 -3.617379e-01 2.239797e-01
 2.072072e-01 -3.821028e-01 -2.782883e-01 2.234469e-01
 2.082082e-01 -4.366780e-01 -1.791479e-01 2.227817e-01
 2.092092e-01 -4.658935e-01 -7.019481e-02 2.219840e-01
 2.102102e-01 -4.682687e-01  4.218286e-02 2.210550e-01
 2.112112e-01 -4.439057e-01  1.514709e-01 2.199957e-01
 2.122122e-01 -3.944595e-01  2.514136e-01 2.188071e-01
 2.132132e-01 -3.230181e-01  3.363763e-01 2.174898e-01
 2.142142e-01 -2.338993e-01  4.016652e-01 2.160438e-01
 2.152152e-01 -1.323790e-01  4.437849e-01 2.144692e-01
 2.162162e-01 -2.436876e-02  4.606217e-01 2.127662e-01
 2.172172e-01  8.393760e-02  4.515420e-01 2.109357e-01
 2.182182e-01  1.864271e-01  4.174015e-01 2.089791e-01
 2.192192e-01  2.774182e-01  3.604688e-01 2.068986e-01
 2.202202e-01  3.519784e-01  2.842674e-01 2.046968e-01
 2.212212e-01  4.061925e-01  1.933489e-01 2.023761e-01
 2.222222e-01  4.373648e-01  9.301196e-02 1.999392e-01
 2.232232e-01  4.441476e-01 -1.101554e-02 1.973885e-01
 2.242242e-01  4.265877e-01 -1.129113e-01 1.947261e-01
 2.252252e-01  3.860931e-01 -2.070907e-01 1.919544e-01
 2.262262e-01  3.253217e-01 -2.885172e-01 1.890763e-01
 2.272272e-01  2.480018e-01 -3.529731e-01 1.860949e-01
 2.282282e-01  1.586966e-01 -3.972772e-01 1.830137e-01
 2.292292e-01  6.252688e-02 -4.194368e-01 1.798368e-01
