# x psi_r psi_i psi2 
 0.000000e+00 -1.089099e-09  2.086450e-09 5.539411e-18
 1.001001e-03  1.089954e-09 -2.086321e-09 5.540737e-18
 2.002002e-03 -1.089732e-09  2.087651e-09 5.545802e-18
 3.003003e-03  1.090315e-09 -2.087332e-09 5.545742e-18
 4.004004e-03 -1.090485e-09  2.088815e-09 5.552304e-18
 5.005005e-03  1.090743e-09 -2.088673e-09 5.552276e-18
 6.006006e-03 -1.091262e-09  2.090126e-09 5.559480e-18
 7.007007e-03  1.091302e-09 -2.090277e-09 5.560197e-18
 8.008008e-03 -1.092175e-09  2.091497e-09 5.567207e-18
 9.009009e-03  1.091948e-09 -2.092094e-09 5.569211e-18
 1.001001e-02 -1.093067e-09  2.092965e-09 5.575296e-18
 1.101101e-02  1.092820e-09 -2.094129e-09 5.579634e-18
 1.201201e-02 -1.093955e-09  2.094678e-09 5.584416e-18
 1.301301e-02  1.093789e-09 -2.096236e-09 5.590582e-18
 1.401401e-02 -1.094842e-09  2.096601e-09 5.594416e-18
 1.501502e-02  1.094980e-09 -2.098408e-09 5.602295e-18
 1.601602e-02 -1.095830e-09  2.098810e-09 5.605847e-18
 1.701702e-02  1.096280e-09 -2.100669e-09 5.614639e-18
 1.801802e-02 -1.096816e-09  2.101301e-09 5.618471e-18
 1.901902e-02  1.097640e-09 -2.103045e-09 5.627610e-18
 2.002002e-02 -1.097943e-09  2.103986e-09 5.632236e-18
 2.102102e-02  1.099100e-09 -2.105545e-09 5.641340e-18
 2.202202e-02 -1.099205e-09  2.106833e-09 5.646995e-18
 2.302302e-02  1.100566e-09 -2.108226e-09 5.655861e-18
 2.402402e-02 -1.100602e-09  2.109827e-09 5.662692e-18
 2.502503e-02  1.102039e-09 -2.111156e-09 5.671468e-18
 2.602603e-02 -1.102204e-09  2.112982e-09 5.679547e-18
 2.702703e-02  1.103520e-09 -2.114264e-09 5.687870e-18
 2.802803e-02 -1.103988e-09  2.116247e-09 5.697292e-18
