# x psi_r psi_i psi2 
 0.000000e+00  3.975675e-11 -1.309453e-12 1.582314e-21
 1.001001e-03 -3.945266e-11  1.445080e-12 1.558601e-21
 2.002002e-03  3.969258e-11 -1.274175e-12 1.577125e-21
 3.003003e-03 -3.956857e-11  1.453171e-12 1.567783e-21
 4.004004e-03  3.959683e-11 -1.280198e-12 1.569548e-21
 5.005005e-03 -3.973227e-11  1.449951e-12 1.580756e-21
 6.006006e-03  3.954916e-11 -1.288525e-12 1.565796e-21
 7.007007e-03 -3.984124e-11  1.410871e-12 1.589315e-21
 8.008008e-03  3.953424e-11 -1.360079e-12 1.564806e-21
 9.009009e-03 -3.986178e-11  1.315614e-12 1.590692e-21
 1.001001e-02  3.958434e-11 -1.426248e-12 1.568954e-21
 1.101101e-02 -3.989897e-11  1.283321e-12 1.593575e-21
 1.201201e-02  3.970058e-11 -1.471323e-12 1.578301e-21
 1.301301e-02 -3.979655e-11  1.299988e-12 1.585456e-21
 1.401401e-02  3.987732e-11 -1.461442e-12 1.592337e-21
 1.501502e-02 -3.976725e-11  1.322664e-12 1.583183e-21
 1.601602e-02  3.998157e-11 -1.428357e-12 1.600566e-21
 1.701702e-02 -3.976106e-11  1.393885e-12 1.582884e-21
 1.801802e-02  4.005452e-11 -1.328160e-12 1.606128e-21
 1.901902e-02 -3.982364e-11  1.436851e-12 1.587987e-21
 2.002002e-02  4.006784e-11 -1.319306e-12 1.607172e-21
 2.102102e-02 -3.994144e-11  1.457445e-12 1.597443e-21
 2.202202e-02  4.003503e-11 -1.294853e-12 1.604480e-21
 2.302302e-02 -4.007877e-11  1.426692e-12 1.608344e-21
 2.402402e-02  4.000791e-11 -1.318001e-12 1.602370e-21
 2.502503e-02 -4.022765e-11  1.407124e-12 1.620244e-21
 2.602603e-02  4.001914e-11 -1.416534e-12 1.603538e-21
 2.702703e-02 -4.031908e-11  1.349393e-12 1.627449e-21
 2.802803e-02  4.007539e-11 -1.485090e-12 1.608242e-21
 2.902903e-02 -4.036577e-11  1.283085e-12 1.631041e-21
 3.003003e-02  4.020176e-11 -1.561404e-12 1.618619e-21
 3.103103e-02 -4.030887e-11  1.277103e-12 1.626436e-21
 3.203203e-02  4.042167e-11 -1.545875e-12 1.636301e-21
 3.303303e-02 -4.027362e-11  1.265307e-12 1.623565e-21
 3.403403e-02  4.061165e-11 -1.502090e-12 1.651563e-21
 3.503504e-02 -4.027997e-11  1.333461e-12 1.624254e-21
 3.603604e-02  4.074388e-11 -1.377842e-12 1.661962e-21
 3.703704e-02 -4.032978e-11  1.504491e-12 1.628755e-21
 3.803804e-02  4.080065e-11 -1.261768e-12 1.666285e-21
 3.903904e-02 -4.051118e-11  1.625977e-12 1.643799e-21
 4.004004e-02  4.078821e-11 -1.166706e-12 1.665039e-21
 4.104104e-02 -4.072218e-11  1.696254e-12 1.661173e-21
 4.204204e-02  4.068484e-11 -1.164568e-12 1.656613e-21
 4.304304e-02 -4.099900e-11  1.643685e-12 1.683619e-21
 4.404404e-02  4.065646e-11 -1.254996e-12 1.654523e-21
 4.504505e-02 -4.119041e-11  1.498857e-12 1.698897e-21
 4.604605e-02  4.068360e-11 -1.413814e-12 1.657154e-21
 4.704705e-02 -4.129125e-11  1.354750e-12 1.706803e-21
 4.804805e-02  4.084855e-11 -1.584677e-12 1.671115e-21
 4.904905e-02 -4.131245e-11  1.200179e-12 1.708159e-21
 5.005005e-02  4.107914e-11 -1.682973e-12 1.690328e-21
 5.105105e-02 -4.121420e-11  1.153161e-12 1.699940e-21
 5.205205e-02  4.139622e-11 -1.721123e-12 1.716609e-21
 5.305305e-02 -4.112999e-11  1.208422e-12 1.693136e-21
 5.405405e-02  4.170349e-11 -1.657230e-12 1.741927e-21
 5.505506e-02 -4.109944e-11  1.306011e-12 1.690870e-21
 5.605606e-02  4.189021e-11 -1.497968e-12 1.757034e-21
 5.705706e-02 -4.120021e-11  1.531941e-12 1.699804e-21
 5.805806e-02  4.197293e-11 -1.314726e-12 1.763455e-21
 5.905906e-02 -4.147699e-11  1.726536e-12 1.723322e-21
 6.006006e-02  4.192857e-11 -1.197833e-12 1.759440e-21
 6.106106e-02 -4.179773e-11  1.835448e-12 1.750419e-21
 6.206206e-02  4.176948e-11 -1.105366e-12 1.745911e-21
 6.306306e-02 -4.221512e-11  1.850131e-12 1.785539e-21
 6.406406e-02  4.166337e-11 -1.120826e-12 1.737092e-21
 6.506507e-02 -4.253914e-11  1.761480e-12 1.812681e-21
 6.606607e-02  4.169456e-11 -1.284084e-12 1.740086e-21
 6.706707e-02 -4.271891e-11  1.592448e-12 1.827441e-21
 6.806807e-02  4.185113e-11 -1.491640e-12 1.753742e-21
 6.906907e-02 -4.273687e-11  1.382228e-12 1.828351e-21
 7.007007e-02  4.219308e-11 -1.742981e-12 1.783294e-21
 7.107107e-02 -4.262807e-11  1.148526e-12 1.818471e-21
 7.207207e-02  4.265055e-11 -1.894832e-12 1.822660e-21
 7.307307e-02 -4.246009e-11  1.032285e-12 1.803925e-21
 7.407407e-02  4.303705e-11 -1.971756e-12 1.856075e-21
 7.507508e-02 -4.238820e-11  1.099343e-12 1.797968e-21
 7.607608e-02  4.336102e-11 -1.863287e-12 1.883650e-21
 7.707708e-02 -4.247987e-11  1.275202e-12 1.806165e-21
