# x psi_r psi_i psi2 
 0.000000e+00 -7.436481e-02  5.909538e-03 5.565047e-03
 5.000250e-05 -7.565637e-02  8.176478e-03 5.790742e-03
 1.000050e-04 -8.253481e-02  7.960101e-03 6.875358e-03
 1.500075e-04 -8.065616e-02  8.269724e-03 6.573804e-03
 2.000100e-04 -8.108081e-02  1.063105e-03 6.575227e-03
 2.500125e-04 -8.743465e-02  1.720153e-03 7.647777e-03
 3.000150e-04 -9.416733e-02  1.596038e-02 9.122219e-03
 3.500175e-04 -1.026771e-01  2.103132e-02 1.098491e-02
 4.000200e-04 -1.057397e-01  1.570183e-02 1.142742e-02
 4.500225e-04 -1.001013e-01  1.246905e-02 1.017575e-02
 5.000250e-04 -1.021169e-01  1.017249e-02 1.053134e-02
 5.500275e-04 -1.066742e-01  1.487392e-02 1.160062e-02
 6.000300e-04 -9.688348e-02  2.183047e-02 9.862978e-03
 6.500325e-04 -8.709958e-02  1.107732e-02 7.709044e-03
 7.000350e-04 -8.277921e-02 -1.699196e-03 6.855286e-03
 7.500375e-04 -7.727302e-02  1.781527e-03 5.974293e-03
 8.000400e-04 -7.703790e-02  3.774010e-03 5.949081e-03
 8.500425e-04 -7.225991e-02  1.745853e-03 5.224542e-03
 9.000450e-04 -6.440482e-02  3.115871e-03 4.157689e-03
 9.500475e-04 -7.272277e-02 -1.365460e-03 5.290466e-03
 1.000050e-03 -8.296044e-02 -2.715388e-03 6.889809e-03
 1.050053e-03 -8.158630e-02  6.397885e-03 6.697257e-03
 1.100055e-03 -8.334816e-02  9.330156e-03 7.033968e-03
 1.150058e-03 -9.132089e-02  1.079686e-02 8.456078e-03
 1.200060e-03 -9.700109e-02  1.502764e-02 9.635041e-03
 1.250063e-03 -9.870942e-02  7.785964e-03 9.804172e-03
 1.300065e-03 -9.375073e-02  4.504698e-03 8.809492e-03
 1.350068e-03 -8.584757e-02  1.437736e-02 7.576514e-03
 1.400070e-03 -8.672062e-02  1.354403e-02 7.703907e-03
 1.450073e-03 -8.498099e-02  5.089320e-03 7.247671e-03
 1.500075e-03 -6.977514e-02 -4.568499e-04 4.868779e-03
 1.550078e-03 -6.172930e-02 -7.670766e-03 3.869347e-03
 1.600080e-03 -6.333999e-02 -4.721536e-03 4.034247e-03
 1.650083e-03 -6.109033e-02  5.062699e-03 3.757659e-03
 1.700085e-03 -6.081492e-02  1.423404e-04 3.698475e-03
 1.750088e-03 -6.052668e-02 -9.081994e-03 3.745961e-03
 1.800090e-03 -6.082090e-02 -6.650312e-03 3.743409e-03
 1.850093e-03 -7.217733e-02  3.870020e-05 5.209569e-03
 1.900095e-03 -8.054557e-02  8.814609e-03 6.565286e-03
 1.950098e-03 -7.696735e-02  1.410928e-02 6.123045e-03
 2.000100e-03 -7.833862e-02  4.478449e-03 6.156996e-03
 2.050103e-03 -8.396464e-02 -1.324261e-03 7.051814e-03
 2.100105e-03 -8.207571e-02  8.729811e-03 6.812631e-03
 2.150108e-03 -7.733271e-02  1.096809e-02 6.100647e-03
 2.200110e-03 -6.911494e-02  5.176914e-03 4.803676e-03
 2.250113e-03 -5.902692e-02  2.657821e-03 3.491241e-03
 2.300115e-03 -5.898699e-02 -5.911278e-03 3.514408e-03
 2.350118e-03 -5.552081e-02 -9.929056e-03 3.181147e-03
 2.400120e-03 -4.167118e-02 -4.081216e-03 1.753144e-03
